Team,Player,GP,MIN,PTS,P2M,P2A,P2p,P3M,P3A,P3p,FTM,FTA,FTp,OREB,DREB,AST,TOV,STL,BLK,PF,PM
Umana Reyer Venezia,Davide Casarin,36,307,83,17,44,38.63636,9,31,29.03226,22,35,62.85714,16,25,38,33,8,1,73,-40
Umana Reyer Venezia,Gasper Vidmar,21,239,77,30,43,69.76744,0,0,,17,45,37.77778,36,19,15,19,8,5,36,3
Umana Reyer Venezia,Giovanni Bellato,1,2,2,0,1,0.00000,0,0,,2,2,100.00000,0,0,0,0,0,0,0,4
Umana Reyer Venezia,Isaac Fotu,18,325,153,51,77,66.23377,8,18,44.44444,27,46,58.69565,24,26,10,29,4,3,42,-57
Umana Reyer Venezia,Jeremy Lamar Chappell,33,789,262,66,135,48.88889,34,121,28.09917,28,37,75.67568,30,89,58,46,27,5,72,13
Umana Reyer Venezia,Julyan Stone,34,769,187,24,45,53.33333,43,124,34.67742,10,17,58.82353,38,154,77,33,35,13,80,52
Umana Reyer Venezia,Leonardo Biancotto,1,9,2,1,2,50.00000,0,2,0.00000,0,0,,0,2,0,0,2,0,2,4
Umana Reyer Venezia,Lorenzo D'Ercole,5,16,0,0,0,,0,3,0.00000,0,0,,1,0,1,1,0,0,1,-14
Umana Reyer Venezia,Luca Campogrande,19,162,69,3,9,33.33333,17,33,51.51515,12,13,92.30769,7,13,10,4,4,0,29,27
Umana Reyer Venezia,Luca Possamai,3,10,2,1,1,100.00000,0,0,,0,0,,1,1,0,2,0,1,3,-9
Umana Reyer Venezia,Michael Bramos,17,437,175,16,32,50.00000,42,100,42.00000,17,26,65.38462,6,49,24,14,11,4,33,72
Umana Reyer Venezia,Mitchell Watt,31,809,439,169,285,59.29825,4,11,36.36364,89,137,64.96350,41,127,35,70,28,32,96,80
Umana Reyer Venezia,Stefano Tonut,33,959,516,121,218,55.50459,63,175,36.00000,85,105,80.95238,12,116,97,69,42,6,68,56
Umana Reyer Venezia,Valerio Mazzola,27,335,54,7,16,43.75000,13,48,27.08333,1,2,50.00000,6,44,17,11,9,4,47,20
Umana Reyer Venezia,Wes Clark,17,283,131,30,61,49.18033,19,55,34.54545,14,28,50.00000,6,28,44,17,12,0,38,1
Vanoli Basket Cremona,Andrea Donda,11,26,3,1,4,25.00000,0,0,,1,2,50.00000,1,4,2,0,0,0,2,-11
Vanoli Basket Cremona,Daulton Hommes,28,871,459,72,137,52.55474,82,192,42.70833,69,80,86.25000,27,101,48,31,18,17,84,-19
Vanoli Basket Cremona,David Reginald Cournooh,25,742,224,39,95,41.05263,27,98,27.55102,65,80,81.25000,19,57,62,31,25,2,62,-15
Vanoli Basket Cremona,Fabio Mian,28,770,311,42,94,44.68085,61,168,36.30952,44,53,83.01887,13,77,29,28,19,0,95,-46
Vanoli Basket Cremona,Filippo Gallo,2,2,3,0,1,0.00000,1,1,100.00000,0,0,,0,0,0,0,0,0,0,1
Vanoli Basket Cremona,Filippo Marchetti,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Vanoli Basket Cremona,Giuseppe Poeta,27,623,264,59,134,44.02985,30,87,34.48276,56,72,77.77778,9,58,184,61,25,2,53,-26
Vanoli Basket Cremona,Jarvis Williams,27,738,338,124,212,58.49057,6,31,19.35484,72,94,76.59574,63,161,22,37,27,10,55,15
Vanoli Basket Cremona,Jaylen Barford,9,232,135,32,59,54.23729,18,55,32.72727,17,20,85.00000,7,23,9,17,9,1,19,12
Vanoli Basket Cremona,Lazar Trunic,8,40,1,0,0,,0,10,0.00000,1,2,50.00000,1,2,0,1,0,0,6,-7
Vanoli Basket Cremona,Marcus Lee,28,598,209,94,147,63.94558,0,0,,21,50,42.00000,63,145,17,36,19,44,80,24
Vanoli Basket Cremona,Mauro Zacchigna,3,3,2,1,2,50.00000,0,0,,0,0,,0,0,0,0,0,0,1,0
Vanoli Basket Cremona,Tj Williams,26,752,302,100,211,47.39336,17,68,25.00000,51,71,71.83099,19,64,105,52,32,0,67,-17
Vanoli Basket Cremona,Topias Palmi,18,303,119,13,29,44.82759,22,51,43.13725,27,28,96.42857,5,28,10,14,3,0,31,-35
Virtus Segafredo Bologna,Abass Awudu Abass,36,631,217,53,102,51.96078,21,78,26.92308,48,57,84.21053,23,80,27,30,23,9,51,105
Virtus Segafredo Bologna,Alessandro Pajola,29,563,182,38,66,57.57576,26,60,43.33333,28,42,66.66667,16,63,99,43,47,5,70,230
